CoreId,CoreTypeId,VfId,MetricId,MetricName,MetricDelta
0,2,15,27,c_cycle_idu_fifo_empty,30
0,2,16,27,c_cycle_idu_fifo_empty,33
0,2,17,27,c_cycle_idu_fifo_empty,54
0,2,18,27,c_cycle_idu_fifo_empty,33
0,2,3,28,c_cycle_idu_fifo_stall,20
0,2,4,28,c_cycle_idu_fifo_stall,4
0,2,5,28,c_cycle_idu_fifo_stall,20
0,2,6,28,c_cycle_idu_fifo_stall,1
0,2,7,28,c_cycle_idu_fifo_stall,13
0,2,8,28,c_cycle_idu_fifo_stall,1
0,2,9,28,c_cycle_idu_fifo_stall,20
0,2,10,28,c_cycle_idu_fifo_stall,1
0,2,11,28,c_cycle_idu_fifo_stall,13
0,2,12,28,c_cycle_idu_fifo_stall,1
0,2,13,28,c_cycle_idu_fifo_stall,20
0,2,14,28,c_cycle_idu_fifo_stall,1
0,2,15,28,c_cycle_idu_fifo_stall,13
0,2,16,28,c_cycle_idu_fifo_stall,1
0,2,17,28,c_cycle_idu_fifo_stall,20
0,2,18,28,c_cycle_idu_fifo_stall,1
0,2,3,29,c_cycle_idu_sreg_stall,0
0,2,4,29,c_cycle_idu_sreg_stall,0
0,2,5,29,c_cycle_idu_sreg_stall,0
0,2,6,29,c_cycle_idu_sreg_stall,0
0,2,7,29,c_cycle_idu_sreg_stall,0
0,2,8,29,c_cycle_idu_sreg_stall,0
0,2,9,29,c_cycle_idu_sreg_stall,0
0,2,10,29,c_cycle_idu_sreg_stall,0
0,2,11,29,c_cycle_idu_sreg_stall,0
0,2,12,29,c_cycle_idu_sreg_stall,0
0,2,13,29,c_cycle_idu_sreg_stall,0
0,2,14,29,c_cycle_idu_sreg_stall,0
0,2,15,29,c_cycle_idu_sreg_stall,0
0,2,16,29,c_cycle_idu_sreg_stall,0
0,2,17,29,c_cycle_idu_sreg_stall,0
0,2,18,29,c_cycle_idu_sreg_stall,0
0,2,3,30,c_cycle_idu_instr_stall,1
0,2,4,30,c_cycle_idu_instr_stall,1
0,2,5,30,c_cycle_idu_instr_stall,1
0,2,6,30,c_cycle_idu_instr_stall,1
0,2,7,30,c_cycle_idu_instr_stall,6
0,2,8,30,c_cycle_idu_instr_stall,1
0,2,9,30,c_cycle_idu_instr_stall,1
0,2,10,30,c_cycle_idu_instr_stall,1
0,2,11,30,c_cycle_idu_instr_stall,6
0,2,12,30,c_cycle_idu_instr_stall,1
0,2,13,30,c_cycle_idu_instr_stall,1
0,2,14,30,c_cycle_idu_instr_stall,1
0,2,15,30,c_cycle_idu_instr_stall,6
0,2,16,30,c_cycle_idu_instr_stall,1
0,2,17,30,c_cycle_idu_instr_stall,1
0,2,18,30,c_cycle_idu_instr_stall,1
0,2,3,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,4,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,5,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,6,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,7,31,c_cycle_idu_instr_stall.vloop_iter,5
0,2,8,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,9,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,10,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,11,31,c_cycle_idu_instr_stall.vloop_iter,5
0,2,12,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,13,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,14,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,15,31,c_cycle_idu_instr_stall.vloop_iter,5
0,2,16,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,17,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,18,31,c_cycle_idu_instr_stall.vloop_iter,0
0,2,3,32,c_cycle_idu_instr_stall.uop_split,0
0,2,4,32,c_cycle_idu_instr_stall.uop_split,0
0,2,5,32,c_cycle_idu_instr_stall.uop_split,0
0,2,6,32,c_cycle_idu_instr_stall.uop_split,0
0,2,7,32,c_cycle_idu_instr_stall.uop_split,0
0,2,8,32,c_cycle_idu_instr_stall.uop_split,0
0,2,9,32,c_cycle_idu_instr_stall.uop_split,0
0,2,10,32,c_cycle_idu_instr_stall.uop_split,0
0,2,11,32,c_cycle_idu_instr_stall.uop_split,0
0,2,12,32,c_cycle_idu_instr_stall.uop_split,0
0,2,13,32,c_cycle_idu_instr_stall.uop_split,0
0,2,14,32,c_cycle_idu_instr_stall.uop_split,0
0,2,15,32,c_cycle_idu_instr_stall.uop_split,0
0,2,16,32,c_cycle_idu_instr_stall.uop_split,0
0,2,17,32,c_cycle_idu_instr_stall.uop_split,0
0,2,18,32,c_cycle_idu_instr_stall.uop_split,0
0,2,3,33,c_cycle_idu_ports_stall,0
0,2,4,33,c_cycle_idu_ports_stall,0
0,2,5,33,c_cycle_idu_ports_stall,0
0,2,6,33,c_cycle_idu_ports_stall,1
0,2,7,33,c_cycle_idu_ports_stall,1
0,2,8,33,c_cycle_idu_ports_stall,1
0,2,9,33,c_cycle_idu_ports_stall,0
0,2,10,33,c_cycle_idu_ports_stall,1
0,2,11,33,c_cycle_idu_ports_stall,1
0,2,12,33,c_cycle_idu_ports_stall,1
0,2,13,33,c_cycle_idu_ports_stall,0
0,2,14,33,c_cycle_idu_ports_stall,1
0,2,15,33,c_cycle_idu_ports_stall,1
0,2,16,33,c_cycle_idu_ports_stall,1
0,2,17,33,c_cycle_idu_ports_stall,0
0,2,18,33,c_cycle_idu_ports_stall,1
0,2,3,34,c_cycle_idu_ports_stall.asu,0
0,2,4,34,c_cycle_idu_ports_stall.asu,0
0,2,5,34,c_cycle_idu_ports_stall.asu,0
0,2,6,34,c_cycle_idu_ports_stall.asu,0
0,2,7,34,c_cycle_idu_ports_stall.asu,0
0,2,8,34,c_cycle_idu_ports_stall.asu,0
0,2,9,34,c_cycle_idu_ports_stall.asu,0
